Date : 2024-05-23 15:59:29
Directory : c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new
Total : 1556 files,  252208 codes, 52786 comments, 47210 blanks, all 352204 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_less.cpp                                                       | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_less_equal.cpp                                                 | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_log.cpp                                                        | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_log10.cpp                                                      | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_max.cpp                                                        | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_min.cpp                                                        | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_minus.cpp                                                      | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_minus_equal.cpp                                                | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_not_equal.cpp                                                  | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_plus.cpp                                                       | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_plus_equal.cpp                                                 | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_pow.cpp                                                        | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_product.cpp                                                    | C++          |          3 |          0 |          2 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_quotient.cpp                                                   | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_rint.cpp                                                       | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_round.cpp                                                      | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_scalar_power_array.cpp                                         | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_sign.cpp                                                       | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_sin.cpp                                                        | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_sinh.cpp                                                       | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_slash_equal.cpp                                                | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_sqrt.cpp                                                       | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_square.cpp                                                     | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_tan.cpp                                                        | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_tanh.cpp                                                       | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Cwise_times_equal.cpp                                                | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\DenseBase_LinSpaced.cpp                                              | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\DenseBase_LinSpacedInt.cpp                                           | C++          |          8 |          0 |          1 |          9 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\DenseBase_LinSpaced_seq_deprecated.cpp                               | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\DenseBase_setLinSpaced.cpp                                           | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\DirectionWise_hnormalized.cpp                                        | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\DirectionWise_replicate.cpp                                          | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\DirectionWise_replicate_int.cpp                                      | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\EigenSolver_EigenSolver_MatrixType.cpp                               | C++          |         13 |          0 |          4 |         17 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\EigenSolver_compute.cpp                                              | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\EigenSolver_eigenvalues.cpp                                          | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\EigenSolver_eigenvectors.cpp                                         | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\EigenSolver_pseudoEigenvectors.cpp                                   | C++          |          8 |          0 |          2 |         10 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\FullPivHouseholderQR_solve.cpp                                       | C++          |          8 |          0 |          1 |          9 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\FullPivLU_image.cpp                                                  | C++          |          9 |          0 |          1 |         10 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\FullPivLU_kernel.cpp                                                 | C++          |          7 |          0 |          1 |          8 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\FullPivLU_solve.cpp                                                  | C++          |         11 |          0 |          1 |         12 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\GeneralizedEigenSolver.cpp                                           | C++          |          7 |          0 |          1 |          8 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\HessenbergDecomposition_compute.cpp                                  | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\HessenbergDecomposition_matrixH.cpp                                  | C++          |          8 |          0 |          1 |          9 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\HessenbergDecomposition_packedMatrix.cpp                             | C++          |          9 |          0 |          1 |         10 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\HouseholderQR_householderQ.cpp                                       | C++          |          7 |          0 |          1 |          8 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\HouseholderQR_solve.cpp                                              | C++          |          9 |          0 |          1 |         10 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\HouseholderSequence_HouseholderSequence.cpp                          | C++          |         27 |          0 |          5 |         32 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\IOFormat.cpp                                                         | C++          |         12 |          0 |          3 |         15 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\JacobiSVD_basic.cpp                                                  | C++          |          9 |          0 |          1 |         10 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Jacobi_makeGivens.cpp                                                | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Jacobi_makeJacobi.cpp                                                | C++          |          8 |          0 |          1 |          9 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\LLT_example.cpp                                                      | C++          |          9 |          1 |          3 |         13 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\LLT_solve.cpp                                                        | C++          |          6 |          2 |          1 |          9 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\LeastSquaresNormalEquations.cpp                                      | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\LeastSquaresQR.cpp                                                   | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Map_general_stride.cpp                                               | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Map_inner_stride.cpp                                                 | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Map_outer_stride.cpp                                                 | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Map_placement_new.cpp                                                | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\Map_simple.cpp                                                       | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_adjoint.cpp                                               | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_all.cpp                                                   | C++          |          6 |          1 |          1 |          8 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_applyOnTheLeft.cpp                                        | C++          |          7 |          0 |          1 |          8 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_applyOnTheRight.cpp                                       | C++          |          9 |          0 |          1 |         10 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_array.cpp                                                 | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_array_const.cpp                                           | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_asDiagonal.cpp                                            | C++          |          1 |          0 |          1 |          2 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_block_int_int.cpp                                         | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_block_int_int_int_int.cpp                                 | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_bottomLeftCorner_int_int.cpp                              | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_bottomRightCorner_int_int.cpp                             | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_bottomRows_int.cpp                                        | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cast.cpp                                                  | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_col.cpp                                                   | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_colwise.cpp                                               | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_colwise_iterator_cxx11.cpp                                | C++          |         12 |          0 |          1 |         13 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_computeInverseAndDetWithCheck.cpp                         | C++          |         13 |          0 |          1 |         14 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_computeInverseWithCheck.cpp                               | C++          |         11 |          0 |          1 |         12 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cwiseAbs.cpp                                              | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cwiseAbs2.cpp                                             | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cwiseArg.cpp                                              | C++          |          3 |          0 |          0 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cwiseEqual.cpp                                            | C++          |          7 |          0 |          1 |          8 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cwiseInverse.cpp                                          | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cwiseMax.cpp                                              | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cwiseMin.cpp                                              | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cwiseNotEqual.cpp                                         | C++          |          7 |          0 |          1 |          8 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cwiseProduct.cpp                                          | C++          |          3 |          0 |          2 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cwiseQuotient.cpp                                         | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cwiseSign.cpp                                             | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_cwiseSqrt.cpp                                             | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_diagonal.cpp                                              | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_diagonal_int.cpp                                          | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_diagonal_template_int.cpp                                 | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_eigenvalues.cpp                                           | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_end_int.cpp                                               | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_eval.cpp                                                  | C++          |         12 |          0 |          1 |         13 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_fixedBlock_int_int.cpp                                    | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_hnormalized.cpp                                           | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_homogeneous.cpp                                           | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_identity.cpp                                              | C++          |          1 |          0 |          1 |          2 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_identity_int_int.cpp                                      | C++          |          1 |          0 |          1 |          2 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_inverse.cpp                                               | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_isDiagonal.cpp                                            | C++          |          5 |          0 |          2 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_isIdentity.cpp                                            | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_isOnes.cpp                                                | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_isOrthogonal.cpp                                          | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_isUnitary.cpp                                             | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_isZero.cpp                                                | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_leftCols_int.cpp                                          | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_noalias.cpp                                               | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_ones.cpp                                                  | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_ones_int.cpp                                              | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_ones_int_int.cpp                                          | C++          |          1 |          0 |          1 |          2 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_operatorNorm.cpp                                          | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_prod.cpp                                                  | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_random.cpp                                                | C++          |          1 |          0 |          1 |          2 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_random_int.cpp                                            | C++          |          1 |          0 |          1 |          2 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_random_int_int.cpp                                        | C++          |          1 |          0 |          1 |          2 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_replicate.cpp                                             | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_replicate_int_int.cpp                                     | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_reshaped_auto.cpp                                         | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_reshaped_fixed.cpp                                        | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_reshaped_int_int.cpp                                      | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_reshaped_to_vector.cpp                                    | C++          |          4 |          0 |          1 |          5 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_reverse.cpp                                               | C++          |          8 |          0 |          1 |          9 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_rightCols_int.cpp                                         | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_row.cpp                                                   | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_rowwise.cpp                                               | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_segment_int_int.cpp                                       | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_select.cpp                                                | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_selfadjointView.cpp                                       | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_set.cpp                                                   | C++          |         13 |          0 |          1 |         14 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_setIdentity.cpp                                           | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_setOnes.cpp                                               | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_setRandom.cpp                                             | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_setZero.cpp                                               | C++          |          3 |          0 |          1 |          4 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_start_int.cpp                                             | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_template_int_bottomRows.cpp                               | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_template_int_end.cpp                                      | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_template_int_int_block_int_int_int_int.cpp                | C++          |          5 |          0 |          1 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_template_int_int_bottomLeftCorner.cpp                     | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_template_int_int_bottomLeftCorner_int_int.cpp             | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_template_int_int_bottomRightCorner.cpp                    | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_template_int_int_bottomRightCorner_int_int.cpp            | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_template_int_int_topLeftCorner.cpp                        | C++          |          6 |          0 |          1 |          7 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\doc\snippets\MatrixBase_template_int_int_topLeftCorner_int_int.cpp                | C++          |          6 |          0 |          1 |          7 |
