Date : 2024-05-23 15:59:29
Directory : c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new
Total : 1556 files,  252208 codes, 52786 comments, 47210 blanks, all 352204 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| include\eigen-3.4.0\Eigen\src\Geometry                                                                                                                              |         15 |      3,244 |      1,687 |        743 |      5,674 |
| include\eigen-3.4.0\Eigen\src\Geometry (Files)                                                                                                                      |         14 |      3,120 |      1,667 |        718 |      5,505 |
| include\eigen-3.4.0\Eigen\src\Geometry\arch                                                                                                                         |          1 |        124 |         20 |         25 |        169 |
| include\eigen-3.4.0\Eigen\src\Householder                                                                                                                           |          3 |        471 |        280 |         83 |        834 |
| include\eigen-3.4.0\Eigen\src\IterativeLinearSolvers                                                                                                                |          8 |      1,387 |        576 |        318 |      2,281 |
| include\eigen-3.4.0\Eigen\src\Jacobi                                                                                                                                |          1 |        344 |         89 |         51 |        484 |
| include\eigen-3.4.0\Eigen\src\KLUSupport                                                                                                                            |          1 |        237 |         60 |         62 |        359 |
| include\eigen-3.4.0\Eigen\src\LU                                                                                                                                    |          6 |      1,452 |        725 |        313 |      2,490 |
| include\eigen-3.4.0\Eigen\src\LU (Files)                                                                                                                            |          5 |      1,221 |        660 |        257 |      2,138 |
| include\eigen-3.4.0\Eigen\src\LU\arch                                                                                                                               |          1 |        231 |         65 |         56 |        352 |
| include\eigen-3.4.0\Eigen\src\MetisSupport                                                                                                                          |          1 |         94 |         31 |         13 |        138 |
| include\eigen-3.4.0\Eigen\src\OrderingMethods                                                                                                                       |          3 |      1,529 |        575 |        350 |      2,454 |
| include\eigen-3.4.0\Eigen\src\PaStiXSupport                                                                                                                         |          1 |        440 |        151 |         88 |        679 |
| include\eigen-3.4.0\Eigen\src\PardisoSupport                                                                                                                        |          1 |        354 |        121 |         71 |        546 |
| include\eigen-3.4.0\Eigen\src\QR                                                                                                                                    |          6 |      1,375 |        918 |        334 |      2,627 |
| include\eigen-3.4.0\Eigen\src\SPQRSupport                                                                                                                           |          1 |        239 |         69 |         28 |        336 |
| include\eigen-3.4.0\Eigen\src\SVD                                                                                                                                   |          5 |      2,106 |        610 |        348 |      3,064 |
| include\eigen-3.4.0\Eigen\src\SparseCholesky                                                                                                                        |          2 |        593 |        169 |        111 |        873 |
| include\eigen-3.4.0\Eigen\src\SparseCore                                                                                                                            |         30 |      6,760 |      1,341 |      1,417 |      9,518 |
| include\eigen-3.4.0\Eigen\src\SparseLU                                                                                                                              |         17 |      2,116 |      1,089 |        432 |      3,637 |
| include\eigen-3.4.0\Eigen\src\SparseQR                                                                                                                              |          1 |        479 |        195 |         85 |        759 |
| include\eigen-3.4.0\Eigen\src\StlSupport                                                                                                                            |          4 |        323 |         66 |         52 |        441 |
| include\eigen-3.4.0\Eigen\src\SuperLUSupport                                                                                                                        |          1 |        750 |        117 |        159 |      1,026 |
| include\eigen-3.4.0\Eigen\src\UmfPackSupport                                                                                                                        |          1 |        439 |         94 |        110 |        643 |
| include\eigen-3.4.0\Eigen\src\misc                                                                                                                                  |          7 |     16,224 |        103 |        797 |     17,124 |
| include\eigen-3.4.0\Eigen\src\plugins                                                                                                                               |          9 |      1,613 |      1,529 |        313 |      3,455 |
| include\eigen-3.4.0\bench                                                                                                                                           |        179 |     14,521 |      3,041 |      3,861 |     21,423 |
| include\eigen-3.4.0\bench (Files)                                                                                                                                   |         40 |      5,481 |        733 |      1,070 |      7,284 |
| include\eigen-3.4.0\bench\btl                                                                                                                                       |        102 |      6,193 |      1,995 |      2,332 |     10,520 |
| include\eigen-3.4.0\bench\btl\actions                                                                                                                               |         21 |      1,552 |        606 |        758 |      2,916 |
| include\eigen-3.4.0\bench\btl\cmake                                                                                                                                 |         12 |        353 |          0 |        100 |        453 |
| include\eigen-3.4.0\bench\btl\data                                                                                                                                  |          8 |        532 |         87 |        229 |        848 |
| include\eigen-3.4.0\bench\btl\generic_bench                                                                                                                         |         21 |      1,153 |        527 |        462 |      2,142 |
| include\eigen-3.4.0\bench\btl\generic_bench (Files)                                                                                                                 |          3 |        316 |         95 |         55 |        466 |
| include\eigen-3.4.0\bench\btl\generic_bench\init                                                                                                                    |          3 |         67 |         69 |         22 |        158 |
| include\eigen-3.4.0\bench\btl\generic_bench\static                                                                                                                  |          3 |         82 |         66 |         58 |        206 |
| include\eigen-3.4.0\bench\btl\generic_bench\timers                                                                                                                  |          8 |        549 |        216 |        254 |      1,019 |
| include\eigen-3.4.0\bench\btl\generic_bench\utils                                                                                                                   |          4 |        139 |         81 |         73 |        293 |
| include\eigen-3.4.0\bench\btl\libs                                                                                                                                  |         40 |      2,603 |        775 |        783 |      4,161 |
| include\eigen-3.4.0\bench\btl\libs\BLAS                                                                                                                             |          5 |        840 |         49 |        167 |      1,056 |
| include\eigen-3.4.0\bench\btl\libs\STL                                                                                                                              |          2 |        205 |         38 |         45 |        288 |
| include\eigen-3.4.0\bench\btl\libs\blaze                                                                                                                            |          2 |         97 |         47 |         39 |        183 |
| include\eigen-3.4.0\bench\btl\libs\blitz                                                                                                                            |          5 |        307 |        127 |        105 |        539 |
| include\eigen-3.4.0\bench\btl\libs\eigen2                                                                                                                           |          6 |        184 |        114 |         71 |        369 |
| include\eigen-3.4.0\bench\btl\libs\eigen3                                                                                                                           |          6 |        245 |        117 |         82 |        444 |
| include\eigen-3.4.0\bench\btl\libs\gmm                                                                                                                              |          3 |        229 |         76 |         85 |        390 |
| include\eigen-3.4.0\bench\btl\libs\mtl4                                                                                                                             |          3 |        211 |         94 |         80 |        385 |
| include\eigen-3.4.0\bench\btl\libs\tensors                                                                                                                          |          4 |        105 |         32 |         37 |        174 |
| include\eigen-3.4.0\bench\btl\libs\tvmet                                                                                                                            |          2 |         76 |         38 |         32 |        146 |
| include\eigen-3.4.0\bench\btl\libs\ublas                                                                                                                            |          2 |        104 |         43 |         40 |        187 |
| include\eigen-3.4.0\bench\perf_monitoring                                                                                                                           |         20 |        650 |         50 |        155 |        855 |
| include\eigen-3.4.0\bench\perf_monitoring (Files)                                                                                                                   |         14 |        529 |         50 |        138 |        717 |
| include\eigen-3.4.0\bench\perf_monitoring\resources                                                                                                                 |          6 |        121 |          0 |         17 |        138 |
| include\eigen-3.4.0\bench\spbench                                                                                                                                   |          6 |        773 |        127 |        109 |      1,009 |
| include\eigen-3.4.0\bench\tensors                                                                                                                                   |         11 |      1,424 |        136 |        195 |      1,755 |
| include\eigen-3.4.0\blas                                                                                                                                            |         41 |      5,834 |      2,645 |      1,282 |      9,761 |
| include\eigen-3.4.0\blas (Files)                                                                                                                                    |         19 |      2,030 |        555 |        486 |      3,071 |
| include\eigen-3.4.0\blas\f2c                                                                                                                                        |         21 |      3,764 |      2,089 |        791 |      6,644 |
| include\eigen-3.4.0\blas\testing                                                                                                                                    |          1 |         40 |          1 |          5 |         46 |
| include\eigen-3.4.0\ci                                                                                                                                              |          5 |        778 |         23 |         91 |        892 |
| include\eigen-3.4.0\cmake                                                                                                                                           |         36 |      6,381 |          0 |        859 |      7,240 |
| include\eigen-3.4.0\debug                                                                                                                                           |          2 |        202 |         35 |         80 |        317 |
| include\eigen-3.4.0\debug\gdb                                                                                                                                       |          2 |        202 |         35 |         80 |        317 |
| include\eigen-3.4.0\demos                                                                                                                                           |         15 |      1,734 |        230 |        392 |      2,356 |
| include\eigen-3.4.0\demos\mandelbrot                                                                                                                                |          2 |        226 |         25 |         35 |        286 |
| include\eigen-3.4.0\demos\mix_eigen_and_c                                                                                                                           |          3 |        215 |         43 |         66 |        324 |
| include\eigen-3.4.0\demos\opengl                                                                                                                                    |         10 |      1,293 |        162 |        291 |      1,746 |
| include\eigen-3.4.0\doc                                                                                                                                             |        372 |      3,365 |        112 |        781 |      4,258 |
| include\eigen-3.4.0\doc (Files)                                                                                                                                     |          4 |        458 |         44 |        105 |        607 |
| include\eigen-3.4.0\doc\examples                                                                                                                                    |         70 |      1,273 |         48 |        285 |      1,606 |
| include\eigen-3.4.0\doc\snippets                                                                                                                                    |        295 |      1,559 |         17 |        370 |      1,946 |
| include\eigen-3.4.0\doc\special_examples                                                                                                                            |          3 |         75 |          3 |         21 |         99 |
| include\eigen-3.4.0\failtest                                                                                                                                        |         55 |        629 |          1 |        240 |        870 |
| include\eigen-3.4.0\lapack                                                                                                                                          |          9 |        308 |         87 |         76 |        471 |
| include\eigen-3.4.0\scripts                                                                                                                                         |          4 |        241 |         46 |         53 |        340 |
| include\eigen-3.4.0\test                                                                                                                                            |        164 |     28,342 |      2,975 |      5,730 |     37,047 |
| include\eigen-3.4.0\unsupported                                                                                                                                     |        315 |     74,159 |     13,949 |     14,432 |    102,540 |
| include\eigen-3.4.0\unsupported\Eigen                                                                                                                               |        169 |     45,988 |     11,026 |      8,738 |     65,752 |
| include\eigen-3.4.0\unsupported\Eigen\CXX11                                                                                                                         |         88 |     30,333 |      5,002 |      5,476 |     40,811 |
| include\eigen-3.4.0\unsupported\Eigen\CXX11\src                                                                                                                     |         88 |     30,333 |      5,002 |      5,476 |     40,811 |
| include\eigen-3.4.0\unsupported\Eigen\CXX11\src\Tensor                                                                                                              |         71 |     27,734 |      4,044 |      4,966 |     36,744 |
| include\eigen-3.4.0\unsupported\Eigen\CXX11\src\TensorSymmetry                                                                                                      |          4 |        967 |        408 |        165 |      1,540 |
| include\eigen-3.4.0\unsupported\Eigen\CXX11\src\TensorSymmetry (Files)                                                                                              |          3 |        596 |        158 |        116 |        870 |
| include\eigen-3.4.0\unsupported\Eigen\CXX11\src\TensorSymmetry\util                                                                                                 |          1 |        371 |        250 |         49 |        670 |
| include\eigen-3.4.0\unsupported\Eigen\CXX11\src\ThreadPool                                                                                                          |          9 |        910 |        402 |        167 |      1,479 |
| include\eigen-3.4.0\unsupported\Eigen\CXX11\src\util                                                                                                                |          4 |        722 |        148 |        178 |      1,048 |
| include\eigen-3.4.0\unsupported\Eigen\src                                                                                                                           |         81 |     15,655 |      6,024 |      3,262 |     24,941 |
| include\eigen-3.4.0\unsupported\Eigen\src\AutoDiff                                                                                                                  |          3 |        734 |        160 |        167 |      1,061 |
| include\eigen-3.4.0\unsupported\Eigen\src\BVH                                                                                                                       |          2 |        359 |         78 |         81 |        518 |
| include\eigen-3.4.0\unsupported\Eigen\src\Eigenvalues                                                                                                               |          1 |        411 |        273 |        107 |        791 |
| include\eigen-3.4.0\unsupported\Eigen\src\EulerAngles                                                                                                               |          2 |        313 |        266 |         83 |        662 |
| include\eigen-3.4.0\unsupported\Eigen\src\FFT                                                                                                                       |          2 |        582 |         49 |         81 |        712 |
| include\eigen-3.4.0\unsupported\Eigen\src\IterativeSolvers                                                                                                          |          8 |      1,220 |        664 |        297 |      2,181 |
| include\eigen-3.4.0\unsupported\Eigen\src\KroneckerProduct                                                                                                          |          1 |        166 |        101 |         39 |        306 |
| include\eigen-3.4.0\unsupported\Eigen\src\LevenbergMarquardt                                                                                                        |          5 |        640 |        234 |        161 |      1,035 |
| include\eigen-3.4.0\unsupported\Eigen\src\MatrixFunctions                                                                                                           |          6 |      1,688 |        592 |        299 |      2,579 |
| include\eigen-3.4.0\unsupported\Eigen\src\MoreVectorization                                                                                                         |          1 |         54 |         18 |         24 |         96 |
| include\eigen-3.4.0\unsupported\Eigen\src\NonLinearOptimization                                                                                                     |         11 |      1,476 |        320 |        362 |      2,158 |
| include\eigen-3.4.0\unsupported\Eigen\src\NumericalDiff                                                                                                             |          1 |         82 |         32 |         17 |        131 |
| include\eigen-3.4.0\unsupported\Eigen\src\Polynomials                                                                                                               |          3 |        508 |        238 |        108 |        854 |
| include\eigen-3.4.0\unsupported\Eigen\src\Skyline                                                                                                                   |          6 |      1,422 |        268 |        385 |      2,075 |
| include\eigen-3.4.0\unsupported\Eigen\src\SparseExtra                                                                                                               |          6 |      1,682 |        520 |        287 |      2,489 |
| include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions                                                                                                          |         20 |      3,753 |      1,905 |        601 |      6,259 |
| include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions (Files)                                                                                                  |         13 |      3,295 |      1,894 |        482 |      5,671 |
| include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\arch                                                                                                     |          7 |        458 |         11 |        119 |        588 |
| include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\arch\AVX                                                                                                 |          2 |         42 |          0 |         22 |         64 |
| include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\arch\AVX512                                                                                              |          2 |         42 |          0 |         22 |         64 |
| include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\arch\GPU                                                                                                 |          1 |        302 |         11 |         57 |        370 |
| include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\arch\NEON                                                                                                |          2 |         72 |          0 |         18 |         90 |
| include\eigen-3.4.0\unsupported\Eigen\src\Splines                                                                                                                   |          3 |        565 |        306 |        163 |      1,034 |
| include\eigen-3.4.0\unsupported\bench                                                                                                                               |          1 |         80 |         16 |         28 |        124 |
| include\eigen-3.4.0\unsupported\doc                                                                                                                                 |         14 |        381 |         26 |        100 |        507 |
| include\eigen-3.4.0\unsupported\doc\examples                                                                                                                        |         14 |        381 |         26 |        100 |        507 |
| include\eigen-3.4.0\unsupported\doc\examples (Files)                                                                                                                |         13 |        335 |         19 |         89 |        443 |
| include\eigen-3.4.0\unsupported\doc\examples\SYCL                                                                                                                   |          1 |         46 |          7 |         11 |         64 |
| include\eigen-3.4.0\unsupported\test                                                                                                                                |        131 |     27,710 |      2,881 |      5,566 |     36,157 |
| x64                                                                                                                                                                 |         19 |      3,279 |        188 |        492 |      3,959 |
| x64\Debug                                                                                                                                                           |         19 |      3,279 |        188 |        492 |      3,959 |
| x64\Debug (Files)                                                                                                                                                   |          3 |        130 |          0 |         18 |        148 |
| x64\Debug\moc                                                                                                                                                       |          7 |      1,032 |        133 |        146 |      1,311 |
| x64\Debug\qmake                                                                                                                                                     |          4 |        205 |          0 |          3 |        208 |
| x64\Debug\qmake (Files)                                                                                                                                             |          1 |         60 |          0 |          1 |         61 |
| x64\Debug\qmake\temp                                                                                                                                                |          3 |        145 |          0 |          2 |        147 |
| x64\Debug\rcc                                                                                                                                                       |          1 |      1,098 |         27 |         17 |      1,142 |
| x64\Debug\uic                                                                                                                                                       |          4 |        814 |         28 |        308 |      1,150 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                                            | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\CalcTools.cpp                                                                                         | C++          |        335 |         34 |         33 |        402 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\CalcTools.h                                                                                           | C++          |         20 |          0 |          3 |         23 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\Controller.cpp                                                                                        | C++          |         57 |          0 |         18 |         75 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\Controller.h                                                                                          | C++          |         24 |          1 |          2 |         27 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\DialogAddForces.cpp                                                                                   | C++          |         34 |          0 |          8 |         42 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\DialogAddForces.h                                                                                     | C++          |         17 |          0 |          8 |         25 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\DialogAddGraphics.cpp                                                                                 | C++          |         44 |          4 |          9 |         57 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\DialogAddGraphics.h                                                                                   | C++          |         23 |          0 |          8 |         31 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\DialogEdgeAdd.cpp                                                                                     | C++          |         22 |          0 |          5 |         27 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\DialogEdgeAdd.h                                                                                       | C++          |         18 |          0 |          7 |         25 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MainWindow.cpp                                                                                        | C++          |        409 |         27 |         64 |        500 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MainWindow.h                                                                                          | C++          |         61 |          0 |         16 |         77 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MatrixSolver.cu                                                                                       | CUDA C++     |        157 |          6 |         37 |        200 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MatrixSolver.cuh                                                                                      | CUDA C++     |         34 |          2 |          4 |         40 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MshInformation.cpp                                                                                    | C++          |        325 |          2 |         32 |        359 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MshInformation.h                                                                                      | C++          |         55 |          7 |         12 |         74 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MyGraphicsView.cpp                                                                                    | C++          |        249 |         18 |         25 |        292 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MyGraphicsView.h                                                                                      | C++          |         46 |          0 |          6 |         52 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MyStackedWidget.cpp                                                                                   | C++          |         30 |          0 |          5 |         35 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MyStackedWidget.h                                                                                     | C++          |         19 |          0 |          4 |         23 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\cusolver_utils.h                                                                                      | C++          |        218 |         44 |         48 |        310 |
